id,username,score
1330329903225581568,0x_b1,44.0
965443719158575104,0x_Lucas,12.0
2728570895,0x_Messi,36.0
66003384,0xdev0,0.0
899928403234762753,0xEther,0.0
1179611794228174849,0xJim,12.0
2329426282,0xKiwi_,0.0
1269408213876846592,0xMaki,24.0
286853713,0xMidnight,0.0
3239337314,0xmubaris,0.0
1076521579817852928,0xPEPO,0.0
1334586569076903937,0xShual,12.0
14053424,0xstark,12.0
1299123196352888833,0xTomoyo,0.0
1240385359055335429,0xtuba,24.0
1239626194384867332,0xWangarian,12.0
1078014622525988864,_anishagnihotri,12.0
895723521153703936,_charlienoyes,12.0
47297850,_jamiis,0.0
2348087750,_JohnWhelan,0.0
327058488,_kinjalbshah,12.0
701688198,_MinTeo,0.0
415718721,_pgauthier,0.0
939041600524771328,_supercycled,12.0
107837944,_tessr,44.0
264551931,_trente_,0.0
9486162,abarmat,0.0
178926812,abbey_titcomb,0.0
84447535,acityinohio,12.0
6568422,adamludwin,18.0
116328126,adamscochran,24.0
17922460,Adrienmag2,0.0
2327407569,aeyakovenko,44.0
1942719522,albertocevalls,0.0
47716918,alex_kroeger,0.0
23083093,AlexanderFisher,0.0
782634053358919681,alexhevans,0.0
6409802,Alexintosh,0.0
811350,alexisohanian,56.0
956174257,AlexMasmej,12.0
159536668,alexzhang__,12.0
1181993108197793793,aliatiia_,0.0
14470738,alive_eth,18.0
3185653795,allilulllc,0.0
149029214,AlokVasudev,0.0
14872837,AmberBaldet,24.0
1646685096,ameensol,12.0
1388236590049206272,amytongwu,44.0
898549288107745281,an0nynoir,0.0
64021497,analyticalali,0.0
3331352283,AndrewDARMACAP,12.0
894317267273560064,AndrewSteinwold,24.0
217534944,andy8052,24.0
2338458907,AnettRolikova,0.0
1589737296,angela_walch,12.0
182119735,anildelphi,32.0
863083003081359362,antiprosynth,18.0
339061487,APompliano,56.0
267485701,AriannaSimpson,24.0
847882255540342784,AriDavidPaul,56.0
1210170414,arimeilich,0.0
25552514,arjunblj,24.0
1310998438016946176,arrundai,0.0
1357451976,Arthur_0x,24.0
14080479,ArthurB,32.0
293770102,AshAEgan,0.0
902600697144856576,ashleighschap,12.0
42584365,ASvanevik,44.0
2024211,austingriffith,18.0
1376805771116040193,AutomataEmily,0.0
15152173,avichal,24.0
3364497995,AviFelman,24.0
10157,avsa,24.0
574779770,AWengroff,0.0
14503129,AWice,44.0
22955227,awrigh01,24.0
2178012643,balajis,56.0
108172903,bantg,24.0
560510883,Baptoshi,0.0
34097500,beeple,56.0
885722868,belikewater893,0.0
39384997,beller,12.0
14744734,bendavenport,18.0
2193335140,BenDiFrancesco,0.0
896771345031233536,benjaminion_xyz,12.0
834592332,benjaminsimon97,12.0
934205226743103493,bertcmiller,12.0
860054898599055360,bigmagicdao,24.0
889455645837201409,bitcoinPalmer,12.0
30282520,bkbollinger,0.0
95420970,bkiepuszewski,0.0
863900163009421312,blockchainjames,0.0
962932834418790400,BlockEnthusiast,0.0
14628341,BlockGeekDima,18.0
1285304255440510976,bluekirbyfi,18.0
10821,bmann,0.0
196519120,bneiluj,24.0
20745781,bobbyong,12.0
828353855570079745,BokkyPooBah,0.0
3279333360,boredGenius,12.0
1293904122605760513,Boring_Crypto,0.0
2156102767,Brad_Laurie,18.0
237624170,bramanathan,12.0
518918278,BrantlyMillegan,24.0
346706911,brendan_opensea,0.0
14379660,brian_armstrong,56.0
1151261857618907136,BrianBrooksUS,38.0
3476,brit,44.0
1044242451475632129,brockjelmore,0.0
19132398,brucefenton,24.0
64954849,buchmanster,12.0
364194656,bugduino,0.0
848232140332519424,BullyEsq,24.0
717926102614716417,CaitlinLong_,44.0
329964821,calchulus,0.0
215525743,calebsheridan,0.0
421271885,CamiRusso,44.0
3983771776,caseykcaruso,12.0
710463119886262272,cburniske,56.0
2529971,cdixon,56.0
68854969,ceterispar1bus,12.0
1231590550429675520,chaserchapman,12.0
1139765190621356032,chefalan_eth,0.0
99188594,chriscantino,44.0
14156407,cjliu49,0.0
1354120919460040711,cmsintern,24.0
2259434528,cobie,56.0
2319408132,coin_artist,24.0
1071200045570101248,ColeGotTweets,0.0
968355023343308802,ConvexMonster,12.0
305830702,Cooopahtroopa,50.0
436399168,cory_eth,0.0
196601199,crainbf,0.0
4826176219,CremeDeLaCrypto,44.0
1370222631203508224,CroissantEth,24.0
897802137832501249,crypto_bobby,24.0
898708204951031809,cryptocoley,18.0
899558268795842561,CryptoCred,36.0
900794431590338562,CryptoGucci,12.0
2433432126,Cryptopathic,36.0
384144651,cubantobacco,44.0
336178185,cuysheffield,12.0
26437093,cyber_hokie,0.0
839975969033191424,cyounessi1,12.0
902926941413453824,cz_binance,56.0
14285074,danfinlay,12.0
273288231,danrobinson,24.0
987634087274823680,Darrenlautf,30.0
995684611979034627,Daryllautk,18.0
1237411,davidmarcus,44.0
751086563069681664,Davidutro,0.0
1038116166,dberenzon,0.0
935340149512089601,dcarmitage,0.0
848628608738488321,DCbuild3r,0.0
1350996311777161219,dcfgod,24.0
25874921,ddwchen,0.0
127646057,DeezeFi,30.0
991745162274467840,DeFi_Dad,24.0
396588822,defidude,12.0
1978953986,DegenSpartan,24.0
23656945,delitzer,12.0
100568224,DennisonBertram,0.0
1256327425916616704,devops199fan,12.0
80211909,dfinzer,44.0
270112490,dgntec,12.0
236194525,dgreenstein1,0.0
2390703980,dhadrien_,0.0
2178242827,Disruptepreneur,38.0
2730853586,dmihal,0.0
3833416227,Dogetoshi,32.0
591975273,dougfeagin,0.0
386282560,DoveyWan,24.0
1177230749273137154,dudesahn,0.0
1412252982,dustdust213,0.0
9615352,dwr,18.0
14101591,econoar,24.0
2301808591,EdgarArout,12.0
399412477,el33th4xor,56.0
981929378757201922,electroXts,0.0
884309808274341888,EliBenSasson,12.0
15253843,emilianobonassi,0.0
21978309,emiliemc,32.0
8388192,epheph,0.0
1420244728621133828,epolynya,24.0
467535591,ercwl,24.0
1654107158,ericjuta,12.0
61417559,ErikVoorhees,56.0
2362854624,ethereumJoseph,56.0
342470910,evabeylin,12.0
189518354,evan_van_ness,24.0
1973894065,EvanWeb3,0.0
202714557,fcmartinelli,0.0
315991624,FEhrsam,56.0
250423559,felix2feng,0.0
1129770714255495169,Fernjosh1,0.0
741281509160550400,fifikobayashi,0.0
134859237,FigoETH,0.0
2933805082,fintechfrank,44.0
5711522,fishkiller,18.0
189184866,Fiskantes,24.0
777685806437785601,Flynnjamm,24.0
67965496,FollowTheChain,0.0
929827324563947521,fomosaurus,24.0
1185623864883253250,fubuloubu,0.0
22784458,Fwiz,50.0
3159122144,gabrielhaines,12.0
2309701,gabusch,24.0
1227321079812837377,gaby_goldberg,24.0
804029200315334656,gakonst,24.0
5768872,garyvee,56.0
735715069,geeogi,0.0
1311393885806100481,gmoneyNFT,56.0
186858310,GNSPS,0.0
1362625187489976321,GordonGoner,38.0
14642331,gregisenberg,56.0
1214949783007367170,gregoireljda,0.0
906911824490188800,GregusJakub,0.0
11677482,hal2001,0.0
566534886,hasufl,30.0
